,f_sum;f_su,ofv in EUR,ofv diff to smallest in Mio EUR,ofv diff wrt smallest,,average system congestion,congestion share of total events,average no of congested lines per hour,load shedding total in MWh,load shedding share of total demand,run time in s,run time in h
"('nodal', 'nodal')",node,1.64339E+11,0,0,0.00%,763.3011582,0.029286032,48.67338572,452948.8601,0.05%,731519.75,203.1999306
"(17, 'penalty')",1000;1000,1.64503E+11,71.07666879,0.04%,0.10%,763.3027283,0.028891556,48.01776563,452877.9689,0.05%,64084.87,17.80135278
"(19, 'penalty')",1000;10,1.64432E+11,0,0.00%,0.06%,763.3032431,0.029002971,48.20293816,452878.1338,0.05%,32383.19,8.995330556
"(20,'penalty')",1000;0,1.65561E+11,1128803610,0.69%,0.74%,755.2650632,0.028875111,47.99043389,430818.2151,0.000433988,138827.95,38.56331944
"(25, 'penalty')",10;1000,1.64498E+11,65.84567366,0.04%,0.10%,763.3033474,0.029109042,48.37922788,452877.9689,0.05%,66402.57,18.44515833
"(27, 'penalty')",10;10,1.68145E+11,3712.917356,2.26%,2.32%,757.9340887,0.029447811,48.9422617,494828.7414,0.05%,19583.87,5.439963889
"(28, 'penalty')",10;0,1.67766E+11,3334.230898,2.03%,2.09%,779.3180209,0.029225391,48.57259993,551572.1324,0.06%,7432.75,2.064652778
"(29, 'penalty')",0;1000,1.64499E+11,67.10075008,0.04%,0.10%,763.3031709,0.029041,48.26614281,452877.9689,0.05%,62786.27,17.44063056
"(32, 'penalty')",0;0,1.72749E+11,8317.080216,5.06%,5.12%,902.7410913,0.029776713,49.48889648,2383646.416,0.24%,4638.15,1.288375
"(35, 'penalty')",40;10,1.64489E+11,56.93541284,0.03%,0.09%,758.4499223,0.029078619,48.32866416,457588.8164,0.05%,28289.82,7.858283333
"('zonal_shadow', 'bids')",,1.69765E+11,5333.182876,3.24%,3.30%,902.3778398,0.029066696,48.30884865,2392940.119,0.24%,4862.42,1.350672222
"(20, 'bids')",bids,1.69574E+11,5142.34325,3.13%,3.19%,904.693585,0.028766779,47.81038606,2486586.398,0.25%,4632.59,1.286830556
"(40, 'bids')",bids,1.70134E+11,5701.810724,3.47%,3.53%,902.1888215,0.029043262,48.26990092,2375868.951,0.24%,8373.92,2.326088889
"(60, 'bids')",bids,1.7024E+11,5807.810586,3.53%,3.59%,902.4424956,0.028995982,48.19132217,2397771.41,0.24%,4612.27,1.281186111
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
