,f_sum;f_su,ofv in EUR,ofv diff to smallest in Mio EUR,ofv diff wrt smallest,wrt nodal,average system congestion,congestion share of total events,average no of congested lines per hour,load shedding total in MWh,load shedding share of total demand,run time in s,run time in h
"('nodal', 'nodal')",node,1.64E+11,0,0,,663.4208248,0.010413853,17.30782371,41629.04637,0.00%,467464,129.8511111
"(17, 'penalty')",1000;1000,1.64E+11,0,0.00%,0.08%,663.6536566,0.010335739,17.17799795,41629.04637,0.00%,41905.47,11.64040833
"(19, 'penalty')",1000;10,1.64E+11,20.38314215,0.01%,0.10%,663.6061336,0.010399669,17.28425009,41629.04637,0.00%,17540.84,4.872455556
"(20,'penalty')",1000;0,1.65123E+11,8.19E+08,0.50%,0.58%,666.2429548,0.009726037,16.16467373,41629.04637,4.19E-05,131746.56,36.59626667
"(25, 'penalty')",10;1000,1.64E+11,11.29669697,0.01%,0.09%,663.6540098,0.010403369,17.29039973,41629.04637,0.00%,51264.78,14.24021667
"(27, 'penalty')",10;10,1.68E+11,3349.599103,2.04%,2.12%,675.0157954,0.010643879,17.69012641,60347.17634,0.01%,7328.69,2.035747222
"(28, 'penalty')",10;0,1.67E+11,2229.571911,1.36%,1.44%,675.0123411,0.010021432,16.65562009,60347.17634,0.01%,5833.39,1.620386111
"(29, 'penalty')",0;1000,1.64E+11,13.5457326,0.01%,0.09%,663.6544837,0.010279826,17.08507004,41629.04637,0.00%,52146.39,14.48510833
"(32, 'penalty')",0;0,1.73E+11,8694.748483,5.29%,5.38%,861.12551,0.010635451,17.67611889,2248824.274,0.23%,4609.72,1.280477778
"(35, 'penalty')",40;10,1.64E+11,16.12120515,0.01%,0.09%,663.6499509,0.010390213,17.26853434,41629.04637,0.00%,15665.02,4.351394444
"('zonal_shadow', 'bids')",,1.70E+11,5571.28731,3.39%,3.48%,856.5975168,0.010333478,17.17423984,2063685.681,0.21%,4562.06,1.267238889
"(20, 'bids')",bids,1.70E+11,5904.886276,3.59%,3.68%,858.7248057,0.010373151,17.24017766,2082779.953,0.21%,5253.95,1.459430556
"(40, 'bids')",bids,1.69E+11,4210.604897,2.56%,2.65%,849.2583312,0.010253719,17.0416809,1853636.483,0.19%,4317.57,1.199325
"(60, 'bids')",bids,1.70E+11,5784.792719,3.52%,3.61%,859.3487288,0.010321349,17.15408268,2181293.938,0.22%,4974.67,1.381852778
